# size	ms	GFlop/s
24000	1178	7825.5
# size	ms	GFlop/s
24000	1172	7865.3
# size	ms	GFlop/s
24000	1204	7656.6
# size	ms	GFlop/s
24000	1187	7762.1
# size	ms	GFlop/s
24000	1163	7927.4
# size	ms	GFlop/s
24000	1172	7864.6
# size	ms	GFlop/s
24000	1191	7741.1
# size	ms	GFlop/s
24000	1208	7631.9
# size	ms	GFlop/s
24000	1182	7797.7
# size	ms	GFlop/s
24000	1181	7804.0
