# size	ms	GFlop/s
24000	1326	6952.7
# size	ms	GFlop/s
24000	1297	7107.1
# size	ms	GFlop/s
24000	1296	7108.9
# size	ms	GFlop/s
24000	1296	7108.6
# size	ms	GFlop/s
24000	1237	7452.6
# size	ms	GFlop/s
24000	1283	7180.6
# size	ms	GFlop/s
24000	1308	7046.1
# size	ms	GFlop/s
24000	1312	7024.3
# size	ms	GFlop/s
24000	1264	7293.8
# size	ms	GFlop/s
24000	1249	7376.1
