# size	ms	GFlop/s
24000	1745	5281.1
# size	ms	GFlop/s
24000	1721	5355.0
# size	ms	GFlop/s
24000	1698	5429.0
# size	ms	GFlop/s
24000	1645	5600.9
# size	ms	GFlop/s
24000	1717	5366.7
# size	ms	GFlop/s
24000	1645	5602.6
# size	ms	GFlop/s
24000	1698	5427.0
# size	ms	GFlop/s
24000	1696	5433.1
# size	ms	GFlop/s
24000	1662	5545.3
# size	ms	GFlop/s
24000	1564	5891.3
